SM,ST,Temp,Humidity,SR,Rain,PSM
30.49,71.92,77.33,79.69,505.96,0,30.486951
30.47,72,83.81,66.35,680.67,0,30.466953
30.47,72.07,74.76,80.18,25.7,0,30.466953
30.47,72.11,64.68,91.86,0,0,30.466953
30.48,72.15,66.95,91.7,179.21,0,30.476952
30.47,72.19,79.05,69.65,513.13,0,30.466953
30.49,72.19,80.61,69.04,390.43,0,30.486951
30.49,72.18,72.16,88.09,0.88,0,30.486951
30.51,72.16,69.34,91.38,0,0,30.506949
30.51,72.12,73.31,88.47,182.67,0,30.506949
30.49,72.08,84.37,77.63,751.37,0,30.486951
30.49,72.01,87.01,72.51,293.67,0,30.486951
30.49,71.97,79.15,89.74,0.25,0,30.486951
30.5,71.91,76.16,93.9,0,0,30.49695
30.49,71.84,78.79,89.7,267.4,0,30.486951
30.48,71.76,88.24,70.32,704.21,0,30.476952
30.43,71.72,87.55,71.77,343.08,0,30.426957
30.39,71.67,79.25,87.44,0,0,30.386961
30.35,71.65,76.6,89.99,3.4,0,30.346965
30.3,71.67,82,79.09,355.83,0,30.29697
30.24,71.74,89.85,66.7,778.67,0,30.236976
30.21,71.82,88.54,69.04,321.71,0,30.206979
30.19,71.91,78.71,86.57,0,0,30.186981
30.17,72.03,76.25,89.4,9.38,0,30.166983
30.16,72.12,78.79,87.04,242.5,0.03,30.186984
30.17,72.18,84.03,80.66,377.46,0,30.166983
30.18,72.25,75.44,92.94,8.4,0.17,30.346982
30.2,72.31,72.18,94.33,0,0.09,30.28698
30.2,72.32,71.93,93.83,11.38,0.01,30.20698
30.2,72.33,74.23,71.74,476.08,0,30.19698
30.2,72.31,83.08,52.64,790.87,0,30.19698
30.19,72.27,78.65,68.15,99.75,0,30.186981
30.2,72.25,64.5,89.71,0,0,30.19698
30.2,72.21,60.12,94.63,29.38,0,30.19698
30.2,72.15,78.07,79.36,416.2,0.01,30.20698
30.2,72.09,85.54,65.91,687.42,0,30.19698
30.19,72.03,83.28,72.6,140.29,0,30.186981
30.18,71.98,73.63,91.29,0,0,30.176982
30.17,71.92,69.41,95.02,15.5,0,30.166983
30.12,71.88,76.95,90.66,255,0,30.116988
